active,confirmed,deaths,recovered,state,statecode
882751,4277584,72816,3321420,Total,TT
236934,923641,27027,659322,Maharashtra,MH
51212,469256,7928,410116,Tamil Nadu,TN
97932,506493,4487,404074,Andhra Pradesh,AP
97001,404324,6534,300770,Karnataka,KA
20543,193526,4599,168384,Delhi,DL
62144,271851,3976,205731,Uttar Pradesh,UP
23216,183865,3620,157029,West Bengal,WB
16120,149027,761,132145,Bihar,BR
31635,142771,895,110241,Telangana,TG
16416,105671,3121,86134,Gujarat,GJ
28798,128245,370,99074,Assam,AS
14958,92536,1151,76427,Rajasthan,RJ
27885,127892,609,99398,Odisha,OR
16333,78773,829,61611,Haryana,HR
16961,75459,1589,56909,Madhya Pradesh,MP
22067,89490,360,66997,Kerala,KL
16640,65583,1923,47020,Punjab,PB
11009,44570,801,32760,Jammu and Kashmir,JK
14588,52620,482,37550,Jharkhand,JH
24708,47280,395,22177,Chhattisgarh,CT
7965,25436,348,17046,Uttarakhand,UT
4501,21173,245,16427,Goa,GA
6308,15526,149,9048,Tripura,TR
4856,17316,325,12135,Puducherry,PY
1710,7106,38,5358,Manipur,MN
2233,7660,55,5359,Himachal Pradesh,HP
525,4220,8,3674,Nagaland,NL
1576,5180,8,3596,Arunachal Pradesh,AR
312,3359,50,2997,Andaman and Nicobar Islands,AN
818,3064,35,2211,Ladakh,LA
2184,5995,74,3734,Chandigarh,CH
286,2589,2,2278,Dadra and Nagar Haveli and Daman and Diu,DN
1457,3034,17,1560,Meghalaya,ML
538,1939,5,1396,Sikkim,SK
382,1114,0,732,Mizoram,MZ
0,0,0,0,State Unassigned,UN
0,0,0,0,Lakshadweep,LD
